Variable 1,Variable 2,Correlation,Full Question Variable 1,Full Question Variable 2,Fully written question
26: LitQ01[SQ001],28: LitQ01[SQ003],0.626031603,Please rate your ability regarding the following statements: [I can operate LLM applications in everyday life.],Please rate your ability regarding the following statements: [I can use LLMs meaningfully to achieve my everyday goals.],
85: PEUQ01[SQ001],93: PUQ01[SQ003],0.624861189,To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ],To what extent do you agree or disagree with the following statements? [Using LLMs in my job increases my productivity.],
27: LitQ01[SQ002],35: LitQ01[SQ010],0.624136809,Please rate your ability regarding the following statements: [I can use LLM applications to make my everyday life easier.],Please rate your ability regarding the following statements: [I can assess what advantages and disadvantages the use of an LLM entails.],
63: ILQ01[SQ011],75: OrgQ01[SQ006],0.623570359,Please rate your agreement with the following statements: [I ask my colleagues about the methods and tricks they use at work.],Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I share experiences that may help others avoid risks and trouble through personal conversation.],
22: DemQ51[SQ003],71: OrgQ01[SQ002],0.621485311,Please rate the extent to which your main occupation involves the following: [Supervising or leading other employees.],Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I engage in long-term coaching relationships with junior employees. ],
78: CommQ01[SQ001],82: CommQ01[SQ005],0.620546605,"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community* members to create innovative solutions for problems that occur in work.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I support personal development of new community members.]",
87: PEUQ01[SQ003],90: PEUQ01[SQ006],0.61870928,To what extent do you agree or disagree with the following statements? [My interaction with LLMs is clear and understandable.],To what extent do you agree or disagree with the following statements? [I find LLMs easy to use.],
28: LitQ01[SQ003],93: PUQ01[SQ003],0.618455873,Please rate your ability regarding the following statements: [I can use LLMs meaningfully to achieve my everyday goals.],To what extent do you agree or disagree with the following statements? [Using LLMs in my job increases my productivity.],
89: PEUQ01[SQ005],90: PEUQ01[SQ006],0.616726377,To what extent do you agree or disagree with the following statements? [It is easy for me to become skillful at using LLMs.],To what extent do you agree or disagree with the following statements? [I find LLMs easy to use.],
35: LitQ01[SQ010],41: UseQ01[SQ001],0.615980997,Please rate your ability regarding the following statements: [I can assess what advantages and disadvantages the use of an LLM entails.],How often do you use generative AI tools (such as ChatGPT) at work? [],
30: LitQ01[SQ005],41: UseQ01[SQ001],0.614265708,"Please rate your ability regarding the following statements: [In everyday life, I can work together gainfully with an LLM.]",How often do you use generative AI tools (such as ChatGPT) at work? [],
29: LitQ01[SQ004],87: PEUQ01[SQ003],0.612097965,"Please rate your ability regarding the following statements: [In everyday life, I can interact with LLMs in a way that makes my tasks easier.]",To what extent do you agree or disagree with the following statements? [My interaction with LLMs is clear and understandable.],
80: CommQ01[SQ003],82: CommQ01[SQ005],0.611802993,"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community members to share success and failure stories on specific topics with common interests.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I support personal development of new community members.]",
71: OrgQ01[SQ002],82: CommQ01[SQ005],0.610520561,Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I engage in long-term coaching relationships with junior employees. ],"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I support personal development of new community members.]",
23: DemQ51[SQ004],70: OrgQ01[SQ001],0.608772933,Please rate the extent to which your main occupation involves the following: [Responsibility for key projects or deliverables.],Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I express ideas and thoughts in organizational meetings.],
29: LitQ01[SQ004],94: PUQ01[SQ004],0.606257281,"Please rate your ability regarding the following statements: [In everyday life, I can interact with LLMs in a way that makes my tasks easier.]",To what extent do you agree or disagree with the following statements? [Using LLMs enhance my effectiveness on the job.],
9: DemQ02,14: G01Q31,0.605410878,What is your age?,How many years of total work experience do you have in your current field or industry?,
20: DemQ51[SQ001],81: CommQ01[SQ004],0.604449861,Please rate the extent to which your main occupation involves the following: [Making significant decisions that affect my team/department/organization.],"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community members to work to encourage excellence in community’s practice.]",
58: ILQ01[SQ006],61: ILQ01[SQ009],0.601065652,"Please rate your agreement with the following statements: [After finishing a task, I think about how to solve the next one more efficiently and more precisely.]",Please rate your agreement with the following statements: [I look at how others work in the company to improve my work.],
27: LitQ01[SQ002],92: PUQ01[SQ002],0.600880484,Please rate your ability regarding the following statements: [I can use LLM applications to make my everyday life easier.],To what extent do you agree or disagree with the following statements? [Using LLMs improves my job performance.],
29: LitQ01[SQ004],34: LitQ01[SQ009],0.59832348,"Please rate your ability regarding the following statements: [In everyday life, I can interact with LLMs in a way that makes my tasks easier.]",Please rate your ability regarding the following statements: [I can assess what the limitations and opportunities of using an LLM are.],
71: OrgQ01[SQ002],84: CommQ01[SQ007],0.597877023,Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I engage in long-term coaching relationships with junior employees. ],"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I share ideas and thoughts on specific topics through company supported online community-of-practice system.]",
85: PEUQ01[SQ001],94: PUQ01[SQ004],0.597116917,To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ],To what extent do you agree or disagree with the following statements? [Using LLMs enhance my effectiveness on the job.],
31: LitQ01[SQ006],41: UseQ01[SQ001],0.596955553,Please rate your ability regarding the following statements: [I can communicate gainfully with LLMs in everyday life.],How often do you use generative AI tools (such as ChatGPT) at work? [],
81: CommQ01[SQ004],84: CommQ01[SQ007],0.596788869,"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community members to work to encourage excellence in community’s practice.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I share ideas and thoughts on specific topics through company supported online community-of-practice system.]",
28: LitQ01[SQ003],85: PEUQ01[SQ001],0.596081303,Please rate your ability regarding the following statements: [I can use LLMs meaningfully to achieve my everyday goals.],To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ],
95: PUQ01[SQ005],97: PUQ01[SQ007],0.595100656,To what extent do you agree or disagree with the following statements? [Using LLMs makes it easier to do my job.],To what extent do you agree or disagree with the following statements? [I trust the information generated by LLMs in my job.],
72: OrgQ01[SQ003],75: OrgQ01[SQ006],0.594367305,"Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I spend time in personal conversation (e.g., discussion in hallway, over lunch, through call) with others to help them with their work-related problems. ]",Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I share experiences that may help others avoid risks and trouble through personal conversation.],
57: ILQ01[SQ005],65: ILQ01[SQ013],0.594306192,"Please rate your agreement with the following statements: [Before starting with a new task, I think about how to solve it in the best way possible.]","Please rate your agreement with the following statements: [When I have finished a new task, I think about what I still could do better next time.]",
41: UseQ01[SQ001],92: PUQ01[SQ002],0.594018589,How often do you use generative AI tools (such as ChatGPT) at work? [],To what extent do you agree or disagree with the following statements? [Using LLMs improves my job performance.],
21: DemQ51[SQ002],23: DemQ51[SQ004],0.593656932,Please rate the extent to which your main occupation involves the following: [Managing budgets or having financial oversight.],Please rate the extent to which your main occupation involves the following: [Responsibility for key projects or deliverables.],
56: ILQ01[SQ004],59: ILQ01[SQ007],0.592136004,Please rate your agreement with the following statements: [I consult LLMs about which methods and tricks can be used for solving tasks.],"Please rate your agreement with the following statements: [While solving a task, I want to learn something from LLMs, so that I can use that knowledge to solve the following task better.]",
41: UseQ01[SQ001],93: PUQ01[SQ003],0.589980689,How often do you use generative AI tools (such as ChatGPT) at work? [],To what extent do you agree or disagree with the following statements? [Using LLMs in my job increases my productivity.],
28: LitQ01[SQ003],95: PUQ01[SQ005],0.589049222,Please rate your ability regarding the following statements: [I can use LLMs meaningfully to achieve my everyday goals.],To what extent do you agree or disagree with the following statements? [Using LLMs makes it easier to do my job.],
37: LitQ01[SQ012],96: PUQ01[SQ006],0.588131501,Please rate your ability regarding the following statements: [I can imagine possible future uses of LLMs.],To what extent do you agree or disagree with the following statements? [I find LLMs useful in my job.],
79: CommQ01[SQ002],84: CommQ01[SQ007],0.587162882,"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community members to share own experience and practice on specific topics with common interests.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I share ideas and thoughts on specific topics through company supported online community-of-practice system.]",
32: LitQ01[SQ007],36: LitQ01[SQ011],0.586576093,"Please rate your ability regarding the following statements: [I know the most important concepts of the topic ""artificial intelligence"".]",Please rate your ability regarding the following statements: [I can think of new uses for LLMs.],
20: DemQ51[SQ001],46: GTCQ01[SQ004],0.586171918,Please rate the extent to which your main occupation involves the following: [Making significant decisions that affect my team/department/organization.],The tasks I solve using LLMs... [... require the assessment of a large amount of information/alternatives.],
36: LitQ01[SQ011],55: ILQ01[SQ003],0.583661207,Please rate your ability regarding the following statements: [I can think of new uses for LLMs.],Please rate your agreement with the following statements: [I consult LLMs when I am not sure about how well I solved a task myself.],
27: LitQ01[SQ002],88: PEUQ01[SQ004],0.583249137,Please rate your ability regarding the following statements: [I can use LLM applications to make my everyday life easier.],To what extent do you agree or disagree with the following statements? [I find LLMs to be clear and understandable.],
53: ILQ01[SQ001],57: ILQ01[SQ005],0.583196635,Please rate your agreement with the following statements: [I use my own ideas to solve tasks.],"Please rate your agreement with the following statements: [Before starting with a new task, I think about how to solve it in the best way possible.]",
48: GTCQ02[SQ001],52: GTCQ02[SQ005],0.581864712,The tasks I solve with colleagues... [... include much variety.],The tasks I solve with colleagues... [... consist of numerous different elements.],
30: LitQ01[SQ005],87: PEUQ01[SQ003],0.581226558,"Please rate your ability regarding the following statements: [In everyday life, I can work together gainfully with an LLM.]",To what extent do you agree or disagree with the following statements? [My interaction with LLMs is clear and understandable.],
62: ILQ01[SQ010],64: ILQ01[SQ012],0.580609144,Please rate your agreement with the following statements: [I ask my colleagues when I am not sure how well I worked.],"Please rate your agreement with the following statements: [Before starting a new task, I think about how I can do my work best.]",
29: LitQ01[SQ004],56: ILQ01[SQ004],0.58048964,"Please rate your ability regarding the following statements: [In everyday life, I can interact with LLMs in a way that makes my tasks easier.]",Please rate your agreement with the following statements: [I consult LLMs about which methods and tricks can be used for solving tasks.],
36: LitQ01[SQ011],41: UseQ01[SQ001],0.58006527,Please rate your ability regarding the following statements: [I can think of new uses for LLMs.],How often do you use generative AI tools (such as ChatGPT) at work? [],
23: DemQ51[SQ004],78: CommQ01[SQ001],0.579789081,Please rate the extent to which your main occupation involves the following: [Responsibility for key projects or deliverables.],"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community* members to create innovative solutions for problems that occur in work.]",
20: DemQ51[SQ001],21: DemQ51[SQ002],0.578613882,Please rate the extent to which your main occupation involves the following: [Making significant decisions that affect my team/department/organization.],Please rate the extent to which your main occupation involves the following: [Managing budgets or having financial oversight.],
27: LitQ01[SQ002],34: LitQ01[SQ009],0.578371065,Please rate your ability regarding the following statements: [I can use LLM applications to make my everyday life easier.],Please rate your ability regarding the following statements: [I can assess what the limitations and opportunities of using an LLM are.],
37: LitQ01[SQ012],55: ILQ01[SQ003],0.577652989,Please rate your ability regarding the following statements: [I can imagine possible future uses of LLMs.],Please rate your agreement with the following statements: [I consult LLMs when I am not sure about how well I solved a task myself.],
55: ILQ01[SQ003],56: ILQ01[SQ004],0.577484755,Please rate your agreement with the following statements: [I consult LLMs when I am not sure about how well I solved a task myself.],Please rate your agreement with the following statements: [I consult LLMs about which methods and tricks can be used for solving tasks.],
81: CommQ01[SQ004],82: CommQ01[SQ005],0.576336992,"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community members to work to encourage excellence in community’s practice.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I support personal development of new community members.]",
28: LitQ01[SQ003],92: PUQ01[SQ002],0.575846057,Please rate your ability regarding the following statements: [I can use LLMs meaningfully to achieve my everyday goals.],To what extent do you agree or disagree with the following statements? [Using LLMs improves my job performance.],
89: PEUQ01[SQ005],95: PUQ01[SQ005],0.575066949,To what extent do you agree or disagree with the following statements? [It is easy for me to become skillful at using LLMs.],To what extent do you agree or disagree with the following statements? [Using LLMs makes it easier to do my job.],
27: LitQ01[SQ002],56: ILQ01[SQ004],0.573664165,Please rate your ability regarding the following statements: [I can use LLM applications to make my everyday life easier.],Please rate your agreement with the following statements: [I consult LLMs about which methods and tricks can be used for solving tasks.],
23: DemQ51[SQ004],72: OrgQ01[SQ003],0.572330746,Please rate the extent to which your main occupation involves the following: [Responsibility for key projects or deliverables.],"Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I spend time in personal conversation (e.g., discussion in hallway, over lunch, through call) with others to help them with their work-related problems. ]",
41: UseQ01[SQ001],85: PEUQ01[SQ001],0.571975798,How often do you use generative AI tools (such as ChatGPT) at work? [],To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ],
62: ILQ01[SQ010],65: ILQ01[SQ013],0.571860236,Please rate your agreement with the following statements: [I ask my colleagues when I am not sure how well I worked.],"Please rate your agreement with the following statements: [When I have finished a new task, I think about what I still could do better next time.]",
72: OrgQ01[SQ003],73: OrgQ01[SQ004],0.571068685,"Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I spend time in personal conversation (e.g., discussion in hallway, over lunch, through call) with others to help them with their work-related problems. ]",Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I keep others updated with important organizational information through personal conversation. ],
96: PUQ01[SQ006],97: PUQ01[SQ007],0.570791472,To what extent do you agree or disagree with the following statements? [I find LLMs useful in my job.],To what extent do you agree or disagree with the following statements? [I trust the information generated by LLMs in my job.],
23: DemQ51[SQ004],73: OrgQ01[SQ004],0.570542791,Please rate the extent to which your main occupation involves the following: [Responsibility for key projects or deliverables.],Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I keep others updated with important organizational information through personal conversation. ],
89: PEUQ01[SQ005],96: PUQ01[SQ006],0.570493777,To what extent do you agree or disagree with the following statements? [It is easy for me to become skillful at using LLMs.],To what extent do you agree or disagree with the following statements? [I find LLMs useful in my job.],
94: PUQ01[SQ004],97: PUQ01[SQ007],0.570304138,To what extent do you agree or disagree with the following statements? [Using LLMs enhance my effectiveness on the job.],To what extent do you agree or disagree with the following statements? [I trust the information generated by LLMs in my job.],
27: LitQ01[SQ002],95: PUQ01[SQ005],0.569702801,Please rate your ability regarding the following statements: [I can use LLM applications to make my everyday life easier.],To what extent do you agree or disagree with the following statements? [Using LLMs makes it easier to do my job.],
91: PUQ01[SQ001],97: PUQ01[SQ007],0.569433905,To what extent do you agree or disagree with the following statements? [Using LLMs in my job enables me to accomplish tasks more quickly.],To what extent do you agree or disagree with the following statements? [I trust the information generated by LLMs in my job.],
20: DemQ51[SQ001],71: OrgQ01[SQ002],0.567531038,Please rate the extent to which your main occupation involves the following: [Making significant decisions that affect my team/department/organization.],Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I engage in long-term coaching relationships with junior employees. ],
21: DemQ51[SQ002],22: DemQ51[SQ003],0.564298554,Please rate the extent to which your main occupation involves the following: [Managing budgets or having financial oversight.],Please rate the extent to which your main occupation involves the following: [Supervising or leading other employees.],
85: PEUQ01[SQ001],96: PUQ01[SQ006],0.56336612,To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ],To what extent do you agree or disagree with the following statements? [I find LLMs useful in my job.],
20: DemQ51[SQ001],73: OrgQ01[SQ004],0.562394006,Please rate the extent to which your main occupation involves the following: [Making significant decisions that affect my team/department/organization.],Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I keep others updated with important organizational information through personal conversation. ],
26: LitQ01[SQ001],85: PEUQ01[SQ001],0.561861357,Please rate your ability regarding the following statements: [I can operate LLM applications in everyday life.],To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ],
37: LitQ01[SQ012],41: UseQ01[SQ001],0.561634674,Please rate your ability regarding the following statements: [I can imagine possible future uses of LLMs.],How often do you use generative AI tools (such as ChatGPT) at work? [],
73: OrgQ01[SQ004],75: OrgQ01[SQ006],0.561343477,Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I keep others updated with important organizational information through personal conversation. ],Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I share experiences that may help others avoid risks and trouble through personal conversation.],
85: PEUQ01[SQ001],97: PUQ01[SQ007],0.561310027,To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ],To what extent do you agree or disagree with the following statements? [I trust the information generated by LLMs in my job.],
29: LitQ01[SQ004],35: LitQ01[SQ010],0.560085938,"Please rate your ability regarding the following statements: [In everyday life, I can interact with LLMs in a way that makes my tasks easier.]",Please rate your ability regarding the following statements: [I can assess what advantages and disadvantages the use of an LLM entails.],
20: DemQ51[SQ001],70: OrgQ01[SQ001],0.559641008,Please rate the extent to which your main occupation involves the following: [Making significant decisions that affect my team/department/organization.],Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I express ideas and thoughts in organizational meetings.],
30: LitQ01[SQ005],55: ILQ01[SQ003],0.558036584,"Please rate your ability regarding the following statements: [In everyday life, I can work together gainfully with an LLM.]",Please rate your agreement with the following statements: [I consult LLMs when I am not sure about how well I solved a task myself.],
22: DemQ51[SQ003],70: OrgQ01[SQ001],0.557477026,Please rate the extent to which your main occupation involves the following: [Supervising or leading other employees.],Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I express ideas and thoughts in organizational meetings.],
64: ILQ01[SQ012],65: ILQ01[SQ013],0.555376929,"Please rate your agreement with the following statements: [Before starting a new task, I think about how I can do my work best.]","Please rate your agreement with the following statements: [When I have finished a new task, I think about what I still could do better next time.]",
20: DemQ51[SQ001],80: CommQ01[SQ003],0.555365372,Please rate the extent to which your main occupation involves the following: [Making significant decisions that affect my team/department/organization.],"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community members to share success and failure stories on specific topics with common interests.]",
56: ILQ01[SQ004],89: PEUQ01[SQ005],0.554910978,Please rate your agreement with the following statements: [I consult LLMs about which methods and tricks can be used for solving tasks.],To what extent do you agree or disagree with the following statements? [It is easy for me to become skillful at using LLMs.],
27: LitQ01[SQ002],55: ILQ01[SQ003],0.554838718,Please rate your ability regarding the following statements: [I can use LLM applications to make my everyday life easier.],Please rate your agreement with the following statements: [I consult LLMs when I am not sure about how well I solved a task myself.],
35: LitQ01[SQ010],38: LitQ01[SQ013],0.554719258,Please rate your ability regarding the following statements: [I can assess what advantages and disadvantages the use of an LLM entails.],Please rate your ability regarding the following statements: [I can tell if I am dealing with an application based on LLMs. ],
14: G01Q31,22: DemQ51[SQ003],0.553737316,How many years of total work experience do you have in your current field or industry?,Please rate the extent to which your main occupation involves the following: [Supervising or leading other employees.],
28: LitQ01[SQ003],86: PEUQ01[SQ002],0.553463288,Please rate your ability regarding the following statements: [I can use LLMs meaningfully to achieve my everyday goals.],To what extent do you agree or disagree with the following statements? [I find it easy to get LLMs to do what I want it to do.],
34: LitQ01[SQ009],89: PEUQ01[SQ005],0.553056765,Please rate your ability regarding the following statements: [I can assess what the limitations and opportunities of using an LLM are.],To what extent do you agree or disagree with the following statements? [It is easy for me to become skillful at using LLMs.],
35: LitQ01[SQ010],91: PUQ01[SQ001],0.551600987,Please rate your ability regarding the following statements: [I can assess what advantages and disadvantages the use of an LLM entails.],To what extent do you agree or disagree with the following statements? [Using LLMs in my job enables me to accomplish tasks more quickly.],
30: LitQ01[SQ005],34: LitQ01[SQ009],0.551578957,"Please rate your ability regarding the following statements: [In everyday life, I can work together gainfully with an LLM.]",Please rate your ability regarding the following statements: [I can assess what the limitations and opportunities of using an LLM are.],
33: LitQ01[SQ008],89: PEUQ01[SQ005],0.551435852,Please rate your ability regarding the following statements: [I know definitions of artificial intelligence.],To what extent do you agree or disagree with the following statements? [It is easy for me to become skillful at using LLMs.],
31: LitQ01[SQ006],55: ILQ01[SQ003],0.551379806,Please rate your ability regarding the following statements: [I can communicate gainfully with LLMs in everyday life.],Please rate your agreement with the following statements: [I consult LLMs when I am not sure about how well I solved a task myself.],
22: DemQ51[SQ003],83: CommQ01[SQ006],0.551362613,Please rate the extent to which your main occupation involves the following: [Supervising or leading other employees.],"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I send related information to members through community e-mail list.]",
26: LitQ01[SQ001],34: LitQ01[SQ009],0.550391832,Please rate your ability regarding the following statements: [I can operate LLM applications in everyday life.],Please rate your ability regarding the following statements: [I can assess what the limitations and opportunities of using an LLM are.],
60: ILQ01[SQ008],64: ILQ01[SQ012],0.549815397,"Please rate your agreement with the following statements: [I want to learn something for myself, because I can then solve the following tasks faster.]","Please rate your agreement with the following statements: [Before starting a new task, I think about how I can do my work best.]",
28: LitQ01[SQ003],55: ILQ01[SQ003],0.547570055,Please rate your ability regarding the following statements: [I can use LLMs meaningfully to achieve my everyday goals.],Please rate your agreement with the following statements: [I consult LLMs when I am not sure about how well I solved a task myself.],
52: GTCQ02[SQ005],71: OrgQ01[SQ002],0.546733825,The tasks I solve with colleagues... [... consist of numerous different elements.],Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I engage in long-term coaching relationships with junior employees. ],
39: LitQ01[SQ014],85: PEUQ01[SQ001],0.546209714,Please rate your ability regarding the following statements: [I can distinguish devices that use LLMs from devices that do not.],To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ],
27: LitQ01[SQ002],96: PUQ01[SQ006],0.546184969,Please rate your ability regarding the following statements: [I can use LLM applications to make my everyday life easier.],To what extent do you agree or disagree with the following statements? [I find LLMs useful in my job.],
85: PEUQ01[SQ001],95: PUQ01[SQ005],0.545695526,To what extent do you agree or disagree with the following statements? [Learning to use LLMs is easy for me. ],To what extent do you agree or disagree with the following statements? [Using LLMs makes it easier to do my job.],
23: DemQ51[SQ004],75: OrgQ01[SQ006],0.545277099,Please rate the extent to which your main occupation involves the following: [Responsibility for key projects or deliverables.],Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I share experiences that may help others avoid risks and trouble through personal conversation.],
34: LitQ01[SQ009],41: UseQ01[SQ001],0.545217771,Please rate your ability regarding the following statements: [I can assess what the limitations and opportunities of using an LLM are.],How often do you use generative AI tools (such as ChatGPT) at work? [],
26: LitQ01[SQ001],41: UseQ01[SQ001],0.544594403,Please rate your ability regarding the following statements: [I can operate LLM applications in everyday life.],How often do you use generative AI tools (such as ChatGPT) at work? [],
26: LitQ01[SQ001],31: LitQ01[SQ006],0.544570628,Please rate your ability regarding the following statements: [I can operate LLM applications in everyday life.],Please rate your ability regarding the following statements: [I can communicate gainfully with LLMs in everyday life.],
74: OrgQ01[SQ005],84: CommQ01[SQ007],0.544316106,Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I share passion and excitement on some specific subjects with others through personal conversation.],"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I share ideas and thoughts on specific topics through company supported online community-of-practice system.]",
56: ILQ01[SQ004],92: PUQ01[SQ002],0.543078297,Please rate your agreement with the following statements: [I consult LLMs about which methods and tricks can be used for solving tasks.],To what extent do you agree or disagree with the following statements? [Using LLMs improves my job performance.],
83: CommQ01[SQ006],84: CommQ01[SQ007],0.542005777,"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I send related information to members through community e-mail list.]","Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I share ideas and thoughts on specific topics through company supported online community-of-practice system.]",
31: LitQ01[SQ006],38: LitQ01[SQ013],0.541652801,Please rate your ability regarding the following statements: [I can communicate gainfully with LLMs in everyday life.],Please rate your ability regarding the following statements: [I can tell if I am dealing with an application based on LLMs. ],
26: LitQ01[SQ001],35: LitQ01[SQ010],0.541150854,Please rate your ability regarding the following statements: [I can operate LLM applications in everyday life.],Please rate your ability regarding the following statements: [I can assess what advantages and disadvantages the use of an LLM entails.],
48: GTCQ02[SQ001],62: ILQ01[SQ010],0.540676472,The tasks I solve with colleagues... [... include much variety.],Please rate your agreement with the following statements: [I ask my colleagues when I am not sure how well I worked.],
58: ILQ01[SQ006],62: ILQ01[SQ010],0.540370937,"Please rate your agreement with the following statements: [After finishing a task, I think about how to solve the next one more efficiently and more precisely.]",Please rate your agreement with the following statements: [I ask my colleagues when I am not sure how well I worked.],
41: UseQ01[SQ001],95: PUQ01[SQ005],0.538953171,How often do you use generative AI tools (such as ChatGPT) at work? [],To what extent do you agree or disagree with the following statements? [Using LLMs makes it easier to do my job.],
20: DemQ51[SQ001],79: CommQ01[SQ002],0.538569732,Please rate the extent to which your main occupation involves the following: [Making significant decisions that affect my team/department/organization.],"Community exchange  *Community: an informal network of people within or across organizations who voluntarily share common practice, expertise, and interests on specific topics. It is neither an organizational unit nor a team.  Please indicate how often you participate in the following activities within a professional community (as defined above).  [I meet with community members to share own experience and practice on specific topics with common interests.]",
27: LitQ01[SQ002],76: OrgQ01[SQ007],0.53824052,Please rate your ability regarding the following statements: [I can use LLM applications to make my everyday life easier.],Organizational communications Please indicate how often you engage in the following organizational communication practices with colleagues. [I have online chats with others to help them with their work-related problems.],
15: DemG055[SQ001],22: DemQ51[SQ003],0.538140659,How long have you been in your current role/position? [Years],Please rate the extent to which your main occupation involves the following: [Supervising or leading other employees.],
26: LitQ01[SQ001],30: LitQ01[SQ005],0.537559271,Please rate your ability regarding the following statements: [I can operate LLM applications in everyday life.],"Please rate your ability regarding the following statements: [In everyday life, I can work together gainfully with an LLM.]",
